$t$,w_0, (EKF), (VApre), (VAEM)
147,0.041199278,0.16891967,0.1693151,0.16928156
148,0.038095273,0.21449687,0.21504596,0.21500556
149,0.040363148,0.20206812,0.20258369,0.20254509
150,0.03355256,0.20081916,0.20133106,0.20129293
151,0.089443415,0.20859882,0.20913114,0.20909183
152,0.092065215,0.2517874,0.2524642,0.25242063
153,0.09203497,0.28267306,0.2834349,0.28339005
154,0.047127753,0.2978918,0.2986899,0.29864427
155,0.044263303,0.2898261,0.29061386,0.290567
156,-0.009127565,0.308543,0.30937523,0.30932742
157,0.011892427,0.33578745,0.3366842,0.33663547
158,0.030511614,0.33915794,0.340063,0.34001398
159,0.06378029,0.28430364,0.28516176,0.28511673
160,-0.033990584,0.21465646,0.2155619,0.2155254
161,-0.07614199,0.221217,0.22214194,0.22210632
162,-0.0880696,0.15008846,0.15107676,0.15106626
163,-0.055592056,0.14335419,0.14433298,0.14432745
164,-0.040876307,0.15642518,0.15742378,0.15740675
165,-0.08384313,0.18219161,0.18322013,0.18318905
166,-0.13972989,0.17316206,0.17417875,0.17415243
167,-0.14356755,0.20276241,0.20381294,0.20376886
168,-0.13608271,0.20884417,0.20990258,0.20985374
169,-0.073316656,0.21123008,0.21228944,0.21224268
170,-0.06895358,0.21519578,0.21625991,0.21621065
171,5.0492585e-05,0.22582151,0.22689746,0.22684477
172,0.014104514,0.23308083,0.23416483,0.23410831
173,0.051976204,0.25623065,0.25734323,0.25727242
174,0.027071768,0.25408858,0.25519797,0.25512967
175,0.014118078,0.25863275,0.2597467,0.25967717
176,0.04032295,0.26995268,0.27107823,0.27100313
177,0.036133472,0.28591114,0.28705266,0.28696927
178,0.045220412,0.27912378,0.28025782,0.2801767
179,0.037141234,0.34256816,0.34434742,0.34424242
180,0.061564334,0.3584612,0.36022505,0.360147
181,0.012230005,0.30431986,0.30614525,0.30604634
182,0.07257589,0.2248052,0.22686084,0.22675489
183,0.082437195,0.23622775,0.23829043,0.23816483
184,0.12778816,0.2626915,0.26470846,0.26459104
185,0.11007841,0.24630408,0.24832113,0.24821828
186,0.0869217,0.16491193,0.16721284,0.16711971
187,0.13011546,0.18564714,0.18796064,0.18783404
188,0.14211217,0.14355326,0.14588922,0.14579473
189,0.1677077,0.11260669,0.114957005,0.114883356
190,0.14407599,0.10919682,0.11157978,0.11149592
191,0.10438621,0.1181694,0.1205063,0.12043196
192,0.061682396,0.15584384,0.15812491,0.15802696
193,0.08311857,0.14103849,0.14329535,0.14321952
194,0.09761415,0.10540718,0.10757664,0.10753653
195,0.059499223,0.067811824,0.06993304,0.069918245
196,0.06756724,0.054413863,0.056549046,0.056538004
197,0.05039195,0.06794856,0.0700268,0.070019364
198,0.065288804,0.03582433,0.03787007,0.03788113
199,0.09327417,0.092808604,0.09477407,0.09474521
200,0.109834015,0.1118835,0.11389382,0.113839194
201,0.10976871,0.15743782,0.15941212,0.15934509
202,0.12751392,0.14719494,0.14925748,0.14916964
203,0.16880493,0.09527797,0.09741348,0.097334325
204,0.15493305,0.079649664,0.08183204,0.08174875
205,0.19460252,0.02751997,0.029645272,0.02959111
206,0.1672131,0.0076496694,0.009702023,0.009671891
207,0.17910798,0.07872374,0.080786355,0.080721915
208,0.14314842,0.078527495,0.08063051,0.08055736
209,0.18778153,0.08581197,0.08799068,0.08790091
210,0.20362554,0.11665325,0.118830375,0.11873429
211,0.20265613,0.12854221,0.13069263,0.1306011
212,0.18640259,0.10591855,0.107956,0.107888244
213,0.19864513,0.11615985,0.1182266,0.11815199
214,0.23611777,0.09061869,0.0926398,0.09257424
215,0.25146386,0.12594591,0.12798364,0.12790924
216,0.21046549,0.10940321,0.11140028,0.11133396
217,0.17051157,0.11813368,0.120117456,0.12005301
218,0.19644192,0.094498254,0.09642315,0.09636994
